source_type,source_link,code,name
government websites,Typical example: https://bolivia.gob.bo/,es,Spanish
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_Americas#Bolivia,es,Spanish
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_Americas#Bolivia,,Aymara
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_Americas#Bolivia,,Quechua
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_Bolivia,es,Spanish
