source_type,source_link,code,name
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,fil,Filipino
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,fr,French
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,de,German
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,el,Greek
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,he,Hebrew
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,iw,Hebrew
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,hi,Hindi
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,is,Icelandic
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,it,Italian
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,ja,Japanese
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,ko,Korean
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,fa,Persian
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,fa,Persian
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,pl,Polish
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,pt,Portuguese
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,ro,Romanian
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,ru,Russian
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,zh-cn,Simplified Chinese
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,es,Spanish
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,tl,Tagalog
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,ta,Tamil
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,te,Telugu
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,zh-tw,Traditional Chinese
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,vi,Vietnamese
Meetups,https://www.meetup.com/find/language/?allMeetups=false&radius=10&userFreeform=New+York%2C+New+York%2C+USA&mcId=c10001&change=yes&sort=default,,Yiddish
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Abkhaz
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Achinese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Acoli
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Adangme
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Adygei
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Afar
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Afrihili
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Afrikaans
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Afroasiatic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Ainu
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Akan
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Akkadian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Albanian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Aleut
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Algonquian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Altaic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,am,Amharic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Apache
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,ar,Arabic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Aragonese Spanish
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Arapaho
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Arawak
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,hy,Armenian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Assamese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Athapascan
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Austronesian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Avaric
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Avestan
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Awadhi
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Aymara
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Azerbaijani
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bable
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Balinese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Baltic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Baluchi
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bambara
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,bn,Bangla
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bantu
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Basa
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bashkir
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,eu,Basque
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Batak
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Beja
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Belarusian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bemba
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Berber
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bhojpuri
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bihari
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bikol
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bilin
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bislama
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bosnian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Braj
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Breton
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Bugis
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,bg,Bulgarian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Buriat
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,my,Burmese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Caddo
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Carib
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,ca,Catalan
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Cebuano
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Celtic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chagatai
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chamorro
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chechen
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Cherokee
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Cheyenne
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chibcha
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,zh,Chinese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chinook jargon
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chipewyan
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Choctaw
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Chuvash
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Coptic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Cornish
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Corsican
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Cree
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Creek
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Crimean Tatar
